block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
149,0,0.16766441999999998,1,9
148,0,0.16766441999999998,1,9
147,0,0.16766441999999998,1,9
146,0,0.16766441999999998,1,9
145,0,0.16766441999999998,1,9
117,1,0.13603228,2,12
230,2,0.07358743999999999,1,6
231,3,0.04681653,2,7
116,4,0.0272643,1,4
79,5,0.02700972,1,4
92,5,0.01530642,1,3
91,5,0.01530642,1,3
90,5,0.01530642,1,3
78,5,0.01530642,1,3
42,6,0.005642350000000001,1,2
112,7,0.00534403,1,2
139,5,0.0036141700000000003,1,2
